epoch,step,val_loss
0,0,0.030386632308363914
1,1,0.019664380699396133
2,2,0.008559547364711761
3,3,-0.0037071681581437588
4,4,-0.017175113782286644
5,5,-0.031566355377435684
6,6,-0.046885039657354355
7,7,-0.06303195655345917
8,8,-0.08012758940458298
9,9,-0.09806327521800995
10,10,-0.11714949458837509
11,11,-0.13755972683429718
12,12,-0.15898795425891876
13,13,-0.18148835003376007
14,14,-0.2053518444299698
15,15,-0.23091238737106323
16,16,-0.2576673924922943
17,17,-0.2849853038787842
18,18,-0.31240135431289673
19,19,-0.3395148813724518
20,20,-0.36585733294487
21,21,-0.391226589679718
22,22,-0.4165368676185608
23,23,-0.4438178837299347
24,24,-0.4760034382343292
25,25,-0.5130650997161865
26,26,-0.5605404376983643
27,27,-0.6202790141105652
28,28,-0.6913450360298157
29,29,-0.7738836407661438
30,30,-0.8631886839866638
31,31,-0.9491987824440002
32,32,-1.0369070768356323
33,33,-1.117810606956482
34,34,-1.1897116899490356
