Ticker,Context,AvgReward,Count,PositiveRate
AVAV,3,0.10343497576051645,70.0,88.57142857142857
AVAV,6,0.13109469742019134,124.0,93.54838709677419
AVAV,9,0.10442085495252273,83.0,85.54216867469879
EH,3,0.19302267335810605,120.0,83.33333333333334
EH,6,0.1956663289660059,66.0,84.84848484848484
EH,9,0.18416501163693072,101.0,80.19801980198021
NVO,1,0.03683930322561104,5.0,80.0
NVO,3,0.043153800845355014,72.0,81.94444444444444
NVO,6,0.049088210576942654,114.0,83.33333333333334
NVO,9,0.03730624473248081,45.0,80.0
QCOM,1,0.11906281860772598,8.0,100.0
QCOM,3,0.06526521889338416,48.0,93.75
QCOM,6,0.0488887043777401,133.0,87.96992481203007
QCOM,9,0.05283190603268155,63.0,85.71428571428571
SPY,4,0.030678301127924797,286.0,92.65734265734265
